From,To,Count
2,2,1105
4,4,1042
5,5,844
5,4,752
4,2,735
6,6,699
3,3,552
6,5,525
6,4,514
7,7,496
7,6,460
3,2,434
5,2,323
8,8,321
8,7,318
6,2,315
7,5,309
8,6,270
7,4,248
4,3,223
5,3,166
9,8,159
7,2,150
9,9,141
8,4,140
8,5,133
9,7,115
8,2,112
1,1,97
9,6,93
6,3,80
9,4,69
9,2,54
10,9,50
9,5,50
10,2,46
10,10,40
7,3,38
10,4,37
10,7,31
8,3,24
10,5,23
10,6,21
10,8,20
9,3,13
10,3,13
