contract_supplier_id,bought_amount,contract_date,has_insurance,is_terminated,material_id,no_money_penalty,price_per_unit,supplier_id,terminate_penalty,transport_type,transportation_cost,team_id
677,1500,2021-12-25,1,0,15,0,25,5,18375,1,41107.5,102
678,10000,2021-12-25,1,0,5,0,20,9,98000,0,1863750,51
679,1500,2021-12-25,1,0,15,0,25,5,18375,1,41107.5,102
680,10000,2022-01-01,1,0,5,102000,20,9,98000,0,NULL,51
681,1500,2021-12-25,1,0,15,0,25,5,18375,1,41107.5,102
682,500,2021-12-25,0,0,15,0,25,1,6125,3,77400,259
683,2000,2021-12-25,0,0,15,0,25,6,24500,3,109500,223
684,1,2021-12-25,0,0,15,0,25,2,12.25,3,66000,108
685,3,2021-12-25,1,0,15,0,25,3,36.75,0,630000,154
686,3,2022-01-01,1,0,15,0,25,3,36.75,0,630000,154
687,3,2022-01-08,1,0,15,0,25,3,36.75,0,630000,154
688,600,2021-12-25,1,0,13,0,30,11,8820,2,60060,23
689,10000,2021-12-25,1,0,15,0,25,2,122500,2,91140,14
690,3000,2021-12-25,0,0,2,0,80,4,117600,0,1695000,93
691,3000,2022-01-01,0,0,2,0,80,4,117600,0,1695000,93
692,3000,2022-01-08,0,0,2,0,80,4,117600,0,1695000,93
693,3000,2022-01-15,0,0,2,0,80,4,117600,0,1695000,93
694,3,2021-12-25,1,0,15,0,25,3,36.75,0,630000,154
695,3,2022-01-01,1,0,15,0,25,3,36.75,0,630000,154
696,3,2022-01-08,1,0,15,0,25,3,36.75,0,630000,154
697,10000,2021-12-25,1,0,15,0,25,2,122500,2,91140,14
698,500,2021-12-25,0,0,15,0,25,1,6125,3,77400,259
699,50,2021-12-25,0,0,5,0,20,12,490,1,76050,174
700,50,2022-01-01,0,0,5,0,20,12,490,1,76050,174
701,50,2022-01-08,0,0,5,0,20,12,490,1,76050,174
702,50,2022-01-15,0,0,5,0,20,12,490,1,76050,174
703,50,2022-01-22,0,0,5,0,21,12,490,1,76050,174
704,50,2022-01-29,0,0,5,0,22.05,12,490,1,76050,174
705,50,2022-02-05,0,0,5,0,20.9475,12,490,1,76050,174
706,50,2022-02-12,0,0,5,0,29.3265,12,490,1,76050,174
707,50,2022-02-19,0,0,5,0,11.7306,12,490,1,76050,174
708,50,2022-02-26,0,0,5,0,13.4902,12,490,1,76050,174
709,10000,2021-12-25,1,0,15,0,25,2,122500,2,91140,14
710,100000,2021-12-25,1,0,3,0,8,13,392000,3,48825,112
711,100000,2022-01-01,1,0,3,0,8,13,392000,3,48825,112
712,100000,2022-01-08,1,0,3,0,8,13,392000,3,48825,112
713,100000,2022-01-15,1,0,3,0,8,13,392000,3,48825,112
